epoch,step,entropy_mean,entropy_std,entropy_p10,entropy_p50,entropy_p90,topk_mass,topk_overlap,l1_adj_diff,adj_mean,adj_var,adj_max,diag_mean,offdiag_mean,raw_entropy_mean,raw_entropy_std,raw_entropy_p10,raw_entropy_p50,raw_entropy_p90,raw_topk_mass,raw_topk_overlap,raw_l1_adj_diff,raw_adj_mean,raw_adj_var,raw_adj_max,raw_diag_mean,raw_offdiag_mean,conf_mean,conf_std,conf_p10,conf_p50,conf_p90,base_entropy_mean,base_entropy_std,base_entropy_p10,base_entropy_p50,base_entropy_p90,base_topk_mass,base_topk_overlap,base_l1_adj_diff,base_adj_mean,base_adj_var,base_adj_max,base_diag_mean,base_offdiag_mean,prior_entropy_mean,prior_sparsity,dyn_vs_prior_overlap,dyn_vs_prior_l1,segments,num_vars,gate_mean,gate_std,gate_min,gate_max,gate_p10,gate_p50,gate_p90,gate_sat_low,gate_sat_high,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_p10,alpha_p50,alpha_p90,alpha_sat_low,alpha_sat_high,routing_conf_mean,routing_conf_std,routing_conf_min,routing_conf_max,routing_conf_p10,routing_conf_p50,routing_conf_p90,routing_conf_sat_low,routing_conf_sat_high,routing_alpha_mean,routing_alpha_std,routing_alpha_min,routing_alpha_max,routing_alpha_p10,routing_alpha_p50,routing_alpha_p90,routing_alpha_sat_low,routing_alpha_sat_high,g_scale_mean,g_scale_std,g_scale_min,g_scale_max,g_scale_p10,g_scale_p50,g_scale_p90,g_scale_sat_low,g_scale_sat_high,map_mean_abs,map_std_mean,E_trend,E_season,E_ratio,mse,mae
1,200,1.5335935354232788,0.17160724103450775,1.2680045366287231,1.5356417894363403,1.7337931394577026,1.0,1.0,0.0,0.0476190485060215,0.010335053317248821,0.5972764492034912,0.0,0.05000000074505806,1.392874002456665,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.846210241317749,1.0,0.0,0.04029572755098343,0.008369398303329945,0.564501941204071,0.0,0.04231051355600357,0.5424984097480774,0.060695547610521317,0.48149603605270386,0.5573033094406128,0.5903605222702026,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.008928460069000721,6,21,0.0024673480074852705,2.081136881315615e-05,0.0024419042747467756,0.002512266393750906,0.0024463979061692953,0.0024622385390102863,0.002505981596186757,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.31712964177131653,0.01977779157459736,0.26719576120376587,0.3716931641101837,0.2910052925348282,0.3201058357954025,0.33690478801727297,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06131767854094505,0.08590146154165268,0.712527871131897,0.14603786170482635,0.8299048542976379,,
1,400,1.5335935354232788,0.17160724103450775,1.2680045366287231,1.5356417894363403,1.7337931394577026,1.0,1.0,0.0,0.0476190485060215,0.010335053317248821,0.5972764492034912,0.0,0.05000000074505806,1.392874002456665,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.846210241317749,1.0,0.0,0.04029572755098343,0.008369398303329945,0.564501941204071,0.0,0.04231051355600357,0.5424984097480774,0.060695547610521317,0.48149603605270386,0.5573033094406128,0.5903605222702026,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.008928460069000721,6,21,0.002460316987708211,4.259865454514511e-05,0.0024170384276658297,0.002556504448875785,0.0024214861914515495,0.002448629355058074,0.0025395583361387253,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.30675432085990906,0.019681788980960846,0.23280423879623413,0.3478836119174957,0.2857142984867096,0.30687832832336426,0.3293651044368744,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05672565847635269,0.0820484384894371,0.8174713850021362,0.18172888457775116,0.8181256651878357,,
2,200,1.571324348449707,0.14924108982086182,1.3345005869865418,1.5694270133972168,1.7442574143409728,1.0,1.0,0.00018112797988578677,0.0476190485060215,0.009646181017160416,0.573469340801239,0.0,0.05000000074505806,1.9968458414077759,0.1652156263589859,1.805736768245697,1.9846798181533813,2.179459500312805,0.7375746965408325,1.0,0.0008809833670966327,0.041715122759342194,0.005441148765385151,0.4806663990020752,0.009228711947798729,0.04333944618701935,0.34411853551864624,0.054266512393951416,0.28413750529289244,0.34811457991600037,0.4068900167942047,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.00956850964576006,6,21,0.002443544799461961,8.041352703003213e-05,0.002369327237829566,0.0026317627634853125,0.0023707295767962933,0.002411989262327552,0.002591171534731984,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.2894138693809509,0.019550029188394547,0.24867725372314453,0.329365074634552,0.26309522688388826,0.28902117908000946,0.31441801190376284,0.0,0.0,0.806180477142334,0.006130690220743418,0.7935389876365662,0.818882405757904,0.7983938694000244,0.8063838481903076,0.8144228100776673,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05513729900121689,0.08046560734510422,0.8586611747741699,0.41416314244270325,0.6746109127998352,,
2,400,1.5711891651153564,0.14932425320148468,1.3339578151702882,1.5690941214561462,1.744300127029419,1.0,1.0,0.000187615878530778,0.0476190485060215,0.009648649953305721,0.5747870206832886,0.0,0.05000000074505806,1.9952882528305054,0.1655208170413971,1.801538872718811,1.9843060970306396,2.180285859107971,0.7379380464553833,1.0,0.0009147701202891767,0.04171038419008255,0.0054500168189406395,0.4848085045814514,0.009197667241096497,0.04333601891994476,0.3446301519870758,0.054366759955883026,0.2838660657405853,0.3482373356819153,0.40826881527900694,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.009564514271914959,6,21,0.002435351489111781,0.00010086546535603702,0.002345035783946514,0.002676132135093212,0.0023461906239390373,0.0024048404302448034,0.0026167077012360096,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.2930307686328888,0.021782727912068367,0.24867725372314453,0.35846564173698425,0.2706349313259125,0.2916666716337204,0.3202380955219269,0.0,0.0,0.806828498840332,0.006874839775264263,0.7855382561683655,0.8206008076667786,0.7981922090053558,0.8073602318763733,0.8136944770812988,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05444258451461792,0.07946181297302246,0.7310342192649841,0.1720210164785385,0.809512197971344,,
3,200,1.5701478719711304,0.1499362736940384,1.3319437503814697,1.568434476852417,1.7439744114875793,1.0,1.0,0.0001712562225293368,0.0476190485060215,0.009667678736150265,0.5742418766021729,0.0,0.05000000074505806,1.9836620092391968,0.16553917527198792,1.7939971804618835,1.9689425826072693,2.16839542388916,0.7407050728797913,1.0,0.0008407326531596482,0.04167423024773598,0.005516583099961281,0.4830893874168396,0.008962208405137062,0.043309830129146576,0.34844890236854553,0.05437278747558594,0.2877716183662415,0.3532836139202118,0.4107459783554077,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.00953354686498642,6,21,0.002426343271508813,0.00013167869474273175,0.0023090962786227465,0.002743697492405772,0.0023109775502234697,0.002391594462096691,0.002663214225322008,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.28786376118659973,0.020993469282984734,0.2420635223388672,0.3333333432674408,0.26322755217552185,0.28703704476356506,0.31534393429756163,0.0,0.0,0.8117653727531433,0.00652429461479187,0.7973134517669678,0.8257837295532227,0.8032468318939209,0.81202831864357,0.8192181646823883,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05361756682395935,0.07804962247610092,0.7695091962814331,0.13098464906215668,0.8545413017272949,,
3,400,1.5698401927947998,0.1501261293888092,1.3319954872131348,1.5681688785552979,1.744032382965088,1.0,1.0,0.0001823362981667742,0.0476190485060215,0.009673301130533218,0.5754883289337158,0.0,0.05000000074505806,1.9800524711608887,0.16639657318592072,1.7850321769714355,1.9693089723587036,2.1667078733444214,0.7415337562561035,1.0,0.0008971212082542479,0.04166340455412865,0.0055370088666677475,0.4870346188545227,0.008892295882105827,0.043301962316036224,0.34963440895080566,0.05465440824627876,0.28832589387893676,0.35316330194473267,0.413690584897995,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.00952456146478653,6,21,0.0024256359320133924,0.00014214908878784627,0.0022980822250247,0.0027676629833877087,0.0023002063389867544,0.0023884542752057314,0.0026781668420881033,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.28761571645736694,0.024822382256388664,0.20370371639728546,0.3492063581943512,0.2592592716217041,0.28902116417884827,0.3174603283405304,0.0,0.0,0.8132432103157043,0.00760375102981925,0.793719470500946,0.8378569483757019,0.8038996756076813,0.8128646612167358,0.8218591451644898,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05147169902920723,0.07526315003633499,0.7962133288383484,0.1611568033695221,0.8316671848297119,,
4,200,1.5698598623275757,0.15011708438396454,1.332196056842804,1.568276047706604,1.7440248608589173,1.0,1.0,0.00019470168626867235,0.0476190485060215,0.009672940708696842,0.5764173269271851,0.0,0.05000000074505806,1.9802331924438477,0.16658294200897217,1.7806206464767456,1.9667000770568848,2.1671465396881104,0.7414854168891907,1.0,0.0009583486244082451,0.041664037853479385,0.005535937380045652,0.4900057911872864,0.008896512910723686,0.04330241307616234,0.3495751619338989,0.05471561849117279,0.28818181753158567,0.3540201783180237,0.41513959765434266,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.009525162167847157,6,21,0.002424506936222315,0.00015708454884588718,0.002282822737470269,0.002802035538479686,0.0022842164617031813,0.002385438419878483,0.0027001858688890934,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.2940022051334381,0.020222369581460953,0.24735450744628906,0.3333333730697632,0.26441802382469176,0.29431217908859253,0.321560862660408,0.0,0.0,0.8131568431854248,0.0062576113268733025,0.8007470965385437,0.8272838592529297,0.8046993970870971,0.813133716583252,0.8218328952789307,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05241543427109718,0.07595299929380417,0.7582865953445435,0.15741682052612305,0.8280919194221497,,
4,400,1.5697156190872192,0.1501975804567337,1.3312922596931458,1.5681366920471191,1.7440264701843262,1.0,1.0,0.00017799071792978793,0.0476190485060215,0.00967557542026043,0.5761989951133728,0.0,0.05000000074505806,1.9786715507507324,0.16620944440364838,1.7844260931015015,1.964758574962616,2.165094780921936,0.7418656945228577,1.0,0.0008761334465816617,0.041659072041511536,0.005544941872358322,0.4893043637275696,0.008863970637321472,0.04329882562160492,0.3500880300998688,0.05459294468164444,0.28885570764541624,0.3546578884124756,0.41388965845108033,1.3928741216659546,0.18478894233703613,1.2471567392349243,1.3478001356124878,1.5785969495773315,0.8462101817131042,0.0,0.0,0.04029572382569313,0.008369398303329945,0.564501941204071,0.0,0.04231050983071327,1.3928741216659546,0.2857142984867096,1.0,0.009520824998617172,6,21,0.0024245826061815023,0.00016252952627837658,0.002277630614116788,0.0028146288823336363,0.002278848085552454,0.0023846111726015806,0.0027088504284620285,1.0,0.0,0.00033535013790242374,0.0,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,0.00033535013790242374,1.0,0.0,0.2943328320980072,0.0233597569167614,0.23941801488399506,0.3399471044540405,0.26005290150642396,0.2962963283061981,0.3227513343095779,0.0,0.0,0.8138352036476135,0.007205242291092873,0.7996116280555725,0.8301773071289062,0.8050115585327149,0.8132458031177521,0.8243278980255127,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05191405862569809,0.07527368515729904,0.8537903428077698,0.12151867151260376,0.875404953956604,,
